name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,recipe
balu shahi,"maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,West Bengal,East,PPJ-bPykYCw
boondi,"gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,Rajasthan,West,Pu0ChnMFLck
gajar ka halwa,"carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North,D98FbtyBsgw
ghevar,"flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,Rajasthan,West,8bw1uVGAatw
gulab jamun,"milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East,8KwQqNCK1xE
imarti,"sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,West Bengal,East,kFGi1jmc5sw
jalebi,"maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,Uttar Pradesh,North,pdFm9Rnz4H8
kaju katli,"cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,All State,All Region,7uCqAtSVJU4
kalakand,"milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East,_go5NKxuAPQ
kheer,"milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,All State,All Region,PKZ5jlk2SxM
laddu,"gram flour, ghee, sugar",vegetarian,10,40,sweet,dessert,All State,All Region,lb6A_W8bxyw
lassi,"yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,Punjab,North,Kw4WVYAC9qM
nankhatai,"refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,sweet,dessert,All State,All Region,uyVEIBIctmk
petha,"firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10,30,sweet,dessert,Uttar Pradesh,North,nE9ZGypzklE
phirni,"rice, sugar, nuts",vegetarian,30,20,sweet,dessert,Odisha,East,tvI5b976nHc
rabri,"condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,Uttar Pradesh,North,YkD74gaIQmc
sheera,"semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,Maharashtra,West,c7CPSCs1XO4
singori,"khoa, coconut, molu leaf",vegetarian,10,20,sweet,dessert,Uttarakhand,North,JMp_ojEzRBw
sohan halwa,"corn flour, ghee, dry fruits",vegetarian,10,60,sweet,dessert,Uttar Pradesh,North,mnL-GzQ8srU
sohan papdi,"gram flour, ghee, sugar, milk, cardamom",vegetarian,-1,60,sweet,dessert,Maharashtra,West,SSBsCOgL05g
chhena jalebi,"chhena, sugar, ghee",vegetarian,10,50,sweet,dessert,Odisha,East,NrrlgGD0IOg
chhena kheeri,"chhena, sugar, milk",vegetarian,-1,60,sweet,dessert,Odisha,East,HKqs6k5PaCo
chhena poda,"sugar, chenna cheese",vegetarian,10,45,sweet,dessert,Odisha,East,kyNHTqd2BaQ
cham cham,"flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,West Bengal,East,EFyRq2IwhtU
kheer sagar,"chenna, condensed milk, sugar, saffron, cardamom",vegetarian,25,60,sweet,dessert,Odisha,East,WYPjfnBDik4
ledikeni,"chhena, sugar, ghee",vegetarian,45,45,sweet,dessert,West Bengal,East,G3_eMdygeW0
lyangcha,"flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,Assam,North East,0fDi0_UV-mE
malapua,"yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,Bihar,North,S2REpTex-Hw
mihidana,"besan flour, sugar, ghee",vegetarian,15,30,sweet,dessert,West Bengal,East,wJxBg96o6JI
misti doi,"milk, jaggery",vegetarian,480,30,sweet,dessert,West Bengal,East,788PUVg6I4w
pantua,"chhena, sugar, ghee, flour",vegetarian,45,45,sweet,dessert,West Bengal,East,VWLpuKMgg7I
pithe,"rice flour, wheat flour",vegetarian,15,35,sweet,dessert,Assam,North East,d6xJqaVv-2I
rasabali,"chenna, sweetened milk",vegetarian,15,30,sweet,dessert,Odisha,East,Cx67qZoCTJM
ras malai,"chhena, reduced milk, pistachio",vegetarian,180,60,sweet,dessert,West Bengal,East,hc1qBiM3RkQ
rasgulla,"chhena, sugar, cardamom",vegetarian,10,90,sweet,dessert,West Bengal,East,c_ZkvfLuCsE
sandesh,"milk, sugar, saffron, cardamom",vegetarian,30,20,sweet,dessert,West Bengal,East,t1vU_tKaCUE
adhirasam,"rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,sweet,dessert,West Bengal,East,LcA-9Wk9z_A
ariselu,"rice flour, jaggery, ghee",vegetarian,15,75,sweet,dessert,Andhra Pradesh,South,ApDgnNeYLmY
bandar laddu,"besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,sweet,dessert,Andhra Pradesh,South,bBpyBHV10GE
chikki,"peanuts, jaggery",vegetarian,10,20,sweet,dessert,Maharashtra,West,KJ3H0dqQmso
dharwad pedha,"milk, sugar, dharwadi buffalo milk",vegetarian,20,60,sweet,dessert,Karnataka,South,LEbvgeZLCpE
double ka meetha,"loaf bread, milk",vegetarian,20,30,sweet,dessert,Telangana,South,DFdeJS3q1H8
gavvalu,"rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,A_O_Vzvxy6Y
kakinada khaja,"wheat flour, sugar",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,pjwFBo3sYpE
kuzhi paniyaram,"black lentils, rice",vegetarian,10,20,sweet,dessert,Kerala,South,zJ4KcIM2Ey8
mysore pak,"besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,5,20,sweet,dessert,Karnataka,South,2E4GG6p48L0
